"ID.Museum.Ind","X.depth.","depth","length"
"55468","-2,64","","14,3"
"55469","-3,39","","3,4"
"55470","","","4,6"
"60565","","-1,26","2,9"
"60623-1","-1,93","","7,4"
"60623-2","","","3,0"
"60623-3","","","2,4"
"60623-4","","","1,7"
"60623-5","","","1,7"
"60623-6","","","1,1"
"60623-7","","","1,3"
"60644-1","-2,14","","3,6"
"60644-2","","","3,0"
"60647-1","-2,48","","7,7"
"60647-2","","","4,8"
"60647-3","","","2,6"
"60656-1","-2,20","","6,9"
"60656-2","","","3,5"
"60658","-2,21","","3,5"
"60662","","-1,43","6,4"
"60673-1","-2,35","","2,7"
"60673-2","","","2,0"
"60673-3","","","1,6"
"60673-4","","","1,8"
"60673-5","","","1,4"
"60673-6","","","1,4"
"60673-7","","","1,6"
"60673-8","","","1,0"
"60678-1","-2,66","","6,9"
"60678-2","","","3,0"
"60678-3","","","2,6"
"60678-4","","","2,0"
"60678-5","","","1,5"
"60678-6","","","1,6"
"60680-1","-2,72","","3,6"
"60680-2","","","2,9"
"60680-3","","","3,2"
"60683-1","-3,43","","3,3"
"60683-2","","","2,6"
"60683-3","","","2,4"
"60683-4","","","2,3"
"60683-5","","","1,8"
"60684-1","-3,43","-3,52","4,8"
"60684-10","","","2,7"
"60684-11","","","2,4"
"60684-12","","","2,7"
"60684-13","","","2,3"
"60684-14","","","2,3"
"60684-15","","","2,5"
"60684-16","","","2,3"
"60684-17","","","2,0"
"60684-18","","","2,5"
"60684-19","","","2,4"
"60684-2","","","4,9"
"60684-20","","","2,1"
"60684-21","","","2,8"
"60684-22","","","2,3"
"60684-23","","","1,8"
"60684-24","","","1,9"
"60684-25","","","1,5"
"60684-26","","","1,4"
"60684-27","","","1,2"
"60684-28","","","1,7"
"60684-29","","","1,4"
"60684-3","","","4,8"
"60684-4","","","3,4"
"60684-5","","","3,0"
"60684-6","","","2,8"
"60684-7","","","2,9"
"60684-8","","","3,0"
"60684-9","","","3,0"
"60685","-3,43","","6,1"
"60686-1","-3,52","","3,9"
"60686-10","","","2,1"
"60686-11","","","2,5"
"60686-12","","","2,4"
"60686-13","","","2,6"
"60686-14","","","2,1"
"60686-15","","","2,4"
"60686-16","","","1,9"
"60686-17","","","2,3"
"60686-18","","","1,8"
"60686-19","","","1,9"
"60686-2","","","3,7"
"60686-20","","","2,3"
"60686-21","","","2,2"
"60686-22","","","1,9"
"60686-23","","","2,1"
"60686-24","","","2,1"
"60686-25","","","1,9"
"60686-26","","","1,9"
"60686-27","","","1,9"
"60686-28","","","2,0"
"60686-29","","","1,8"
"60686-3","","","4,0"
"60686-30","","","1,9"
"60686-31","","","1,5"
"60686-32","","","2,1"
"60686-33","","","1,6"
"60686-34","","","1,6"
"60686-35","","","1,1"
"60686-36","","","1,2"
"60686-38","","","1,5"
"60686-39","","","1,2"
"60686-4","","","3,9"
"60686-5","","","2,4"
"60686-6","","","2,3"
"60686-7","","","2,5"
"60686-8","","","2,7"
"60686-9","","","2,3"
"60687","-3,55","","4,1"
"60688-1","-3,58","","5,1"
"60688-10","","","2,3"
"60688-11","","","2,5"
"60688-12","","","2,1"
"60688-13","","","1,9"
"60688-14","","","1,6"
"60688-15","","","1,6"
"60688-16","","","1,6"
"60688-17","","","1,5"
"60688-18","","","1,5"
"60688-19","","","1,8"
"60688-2","","","3,9"
"60688-20","","","1,6"
"60688-21","","","1,4"
"60688-22","","","1,2"
"60688-23","","","1,4"
"60688-24","","","1,5"
"60688-25","","","1,4"
"60688-26","","","1,4"
"60688-27","","","1,4"
"60688-28","","","1,4"
"60688-29","","","1,1"
"60688-3","","","2,9"
"60688-30","","","1,0"
"60688-4","","","3,1"
"60688-5","","","3,0"
"60688-6","","","2,6"
"60688-7","","","2,1"
"60688-8","","","2,7"
"60688-9","","","2,5"
"60689","-3,69","","5,1"
"60690","-3,72","","13,5"
"60691","-3,72","","4,6"
"60692","-3,79","","7,1"
"60694","-3,83","","4,3"
"60696","-4,03","","4,0"
"60697","-4,08","","12,0"
"60698-1","-4,22","","5,7"
"60698-2","-4,22","","5,5"
"60700-1","-4,34","","7,7"
"60700-2","-4,34","","5,5"
"60701-1","-4,51","","6,2"
"60701-2","-4,51","","4,2"
"60701-3","-4,51","","2,1"
"60702","","-4,87","9,8"
"60703","-4,88","","12,9"
"60705","-5,01","","6,5"
"60706","-5,23","","3,9"
"60707","","-5,59","5,6"
"60708","-5,63","","3,3"
"60710","-5,81","","1,7"
"60711","-6,04","-5,52","6,2"
"60715","","","2,5"
"60717","","","6,3"
"60733-1","-1,66","","5,3"
"60733-2","-1,66","","4,7"
"60733-3","","","2,4"
"60733-4","","","1,7"
"60693-1","-3,82","","4-8"
"60693-15","","","2-4"
"60744-3","","","4,3"
"60745-1","-2,85","","4,5"
"60745-2","","","1,5"
"60745-3","","","1,2"
"60693-3","","","4-8"
"60693-4","","","4-8"
"60746-3","","","2,4"
"60746-4","","","2,0"
"60748","-3,55","-3,55","2,7"
"60756-1","-3,84","-3,94 ?","11,4"
"60756-2","","","4,0"
"60756-3","","","3,6"
"60756-4","","","3,7"
"60756-5","","","3,0"
"60756-6","","","3,0"
"60762-1","-4,03","","7,9"
"60762-2","","","5,1"
"60762-3","","","2,8"
"60762-4","","","2,5"
"60762-5","","","2,0"
"60762-6","","","1,9"
"60766-1","-4,56","","5,2"
"60766-2","","","2,5"
"60713-10","","","2,1"
"60767-2","","","4,8"
"60767-3","","","4,4"
"60767-4","","","3,2"
"60767-5","","","1,8"
"60771-1","-5,01","","6,2"
"60713-7","","","2,8"
"60772-1","-5,58","-5,58","3,9"
"60772-10","","","2,4"
"60772-11","","","2,7"
"60772-12","","","2,8"
"60772-13","","","2,6"
"60772-14","","","2,5"
"60772-15","","","2,4"
"60772-16","","","2,5"
"60772-17","","","2,3"
"60772-18","","","2,3"
"60772-19","","","2,2"
"60772-2","","-5,58","4,3"
"60772-20","","","2,1"
"60772-21","","","2,3"
"60772-22","","","2,4"
"60772-23","","","2,3"
"60772-24","","","2,1"
"60772-25","","","1,8"
"60772-26","","","2,2"
"60772-27","","","2,5"
"60772-28","","","1,9"
"60772-29","","","1,7"
"60772-3","","-5,58","3,9"
"60772-30","","","1,7"
"60772-31","","","1,7"
"60772-32","","","1,9"
"60772-33","","","1,7"
"60772-34","","","1,6"
"60772-35","","","1,6"
"60772-36","","","1,6"
"60772-37","","","1,5"
"60772-38","","","1,2"
"60772-39","","","1,5"
"60772-4","","-5,58","2,9"
"60772-40","","","1,5"
"60772-41","","","1,0"
"60772-5","","-5,58","3,7"
"60772-6","","","4,0"
"60772-7","","","4,0"
"60772-8","","","2,8"
"60772-9","","","3,1"
"62330","","-0,86","5,6"
"62331","","-0,92","5,9"
"62332","-0,99","","4,6"
"62333-1","-1,73","-1,26","7,4"
"62333-2","-1,73","-1,26","5,1"
"62333-3","-1,73","-1,26","4,2"
"62334","","-1,39","3,2"
"62335","","-1,29","4,7"
"62336-1","-1,81","-1,34","7,5"
"62336-2","","","2,4"
"62337","","-1,45","6,8"
"62338","","-1,48","2,7"
"62339","","-1,48","2,7"
"62340","","-1,60","4,7"
"62341","","-1,60","3,5"
"62342-1","-1,70","","4,1"
"62342-2","-1,70","","3,6"
"62342-3","-1,70","","2,7"
"62342-4","","","2,8"
"62342-5","","","2,2"
"62342-6","","","1,8"
"62342-7","","","1,8"
"62343","-1,70","","3,7"
"62344-1","-1,81","","3,6"
"62344-2","","","2,8"
"62344-3","","","2,3"
"62344-4","","","2,3"
"62344-5","","","2,4"
"62345","","","2,5"
"62345-1","-1,85","","4,2"
"62345-2","-1,85","","3,4"
"62345-3","-1,85","","4,2"
"62345-4","-1,85","","3,9"
"62345-5","","","3,0"
"62345-6","","","2,5"
"62345-7","","","2,9"
"62345-8","","","2,6"
"62346-1","-1,86","","5,9"
"62346-2","-1,86","","4,4"
"62346-3","-1,86","","3,2"
"62346-4","","","2,7"
"62346-5","","","2,4"
"62346-6","","","1,9"
"62346-7","","","1,9"
"62347-1","-1,88","","5,8"
"62347-2","-1,88","","2,9"
"62347-3","","","2,7"
"62347-4","","","2,7"
"62347-5","","","2,7"
"62347-6","","","1,7"
"62347-7","","","1,9"
"62347-8","","","1,7"
"62348-1","-1,91","","4,1"
"62348-10","","","2,4"
"62348-11","","","1,4"
"62348-2","","","3,6"
"62348-3","","","3,1"
"62348-4","","","3,6"
"62348-5","","","2,4"
"62348-6","","","2,9"
"62348-7","","","2,2"
"62348-8","","","2,3"
"62348-9","","","2"
"62349","-1,91","","3,8"
"62349-1","-1,91","","7,5"
"62349-2","-1,91","","5,3"
"62349-3","-1,91","","3,9"
"62350-1","","","3,8"
"62350-2","-1,93","","3,9"
"62350-3","","","3,9"
"62350-4","","","3,7"
"62350-5","","","2,5"
"62351-1","-1,94","","4,6"
"62351-2","","","3,7"
"62351-3","","","3,1"
"62351-4","","","3,3"
"62352","-3,98","","5,5"
"62353","-4,00","","4,8"
"62364","","-0,94","4,5"
"62365","","-1,30","6,7"
"62368","-1,85","","7,3"
"62369","-1,94","","4,9"
"62370","-1,95","","7,3"
"62371","-1,96","","3,7"
"62372","-1,98","","4,8"
"62373-1","-2,0","","3,3"
"62373-2","-2,0","","3,2"
"62373-3","","","2,4"
"62373-4","","","2,4"
"62374","-2,29","","4,3"
"60713-8","","","1,2"
"60713-9","","","1,8"
"60744-1","-2,56","","5,0"
"62376-3","","","1,6"
"60744-2","","","5,0"
"62377-2","","-2,61","3,2"
"62377-3","","","1,9"
"62378-1","","-2,67","9,4"
"60746-1","","-3,43","5,2"
"62381","-3,36","","7,6"
"62382-1","-3,46","","6,9"
"62382-2","-3,46","","4,6"
"62383-1","-3,63","","2,7"
"62383-3","","","2,9"
"62386-1","","","2,6"
"62393","-3,84","","8,3"
"62398-1","-3,91","","7,0"
"62398-2","","","2,7"
"62398-3","","","2,0"
"62398-4","","","2,4"
"62399","-3,93","","8,4"
"62402-1","-3,96","","6,1"
"62402-2","","","5,7"
"62402-3","","","3,3"
"62402-4","","","2,9"
"62402-5","","","3,1"
"62402-6","","","2,5"
"62403-1","-3,97","","4,4"
"62403-2","","","4,0"
"62403-3","","","4,1"
"62403-4","","","3,3"
"62479","","-0,88","3,6"
"62480","","-0,92","4,3"
"62481","","-0,92","5,4"
"62482","","-0,99","5,4"
"62483","-0,99","","4,8"
"62484","","-1,48","6,1"
"62485","","-1,48","3,7"
"62486","","-1,48","4,7"
"62487","","-1,60","3,7"
"62488","","-1,60","5,1"
"62489","","-1,60","5,2"
"62490","","-1,60","4,4"
"62491","-1,79","","3,8"
"62492","-1,79","","3,4"
"62493-1","","","3,4"
"62493-2","","","3,3"
"62494-1","","-1,38","6,3"
"62494-2","","-1,38","5,8"
"62494-3","-1,85","-1,38","4,7"
"62494-4","","-1,38","3,9"
"62494-5","-1,85","-1,38","4,5"
"62494-6","","-1,38","3,7"
"62495","","-1,42","4,7"
"62496-1","","-1,36","5,3"
"62496-2","","-1,36","4,7"
"62496-3","","-1,36","5,6"
"62496-4","","-1,36","4,9"
"62496-5","","-1,36","4,2"
"62496-6","","","4"
"62496-7","","","3,2"
"62497","-1,90","","7,0"
"62383-2","","","3,1"
"62383-4","","","1,8"
"62380-1","-2,84","","8,8"
"62380-2","","","2,3"
"62380-3","","","2,2"
"62380-4","","","1,8"
"62380-5","","","1,7"
"62380-6","","","1,5"
"60765-1","-4,30","","3,3"
"60765-2","","","2,4"
"60765-3","","","2,4"
"60765-4","","","1,9"
"60754-1","-3,81","","6,5"
"60754-2","","","3,5"
"60754-3","","","3,5"
"60754-4","","","1,6"
"60776-1","","","2,5"
"60776-2","","","2,4"
"60776-3","","","2,8"
"60776-4","","","1,9"
"60755-1","","-3,81","5,6"
"60755-2","","","4,0"
"60755-3","","","3,3"
"60755-4","","","2,5"
"60755-5","","","2,3"
"60738-1","-1,74","","3,4"
"60738-2","","","3,0"
"60738-3","","","2,9"
"60738-4","","","2,4"
"60746-2","","","4,0"
"62389-82","","","2-4"
"62389-83","","","2-4"
"62389-84","","","2-4"
"62389-85","","","2-4"
"62389-86","","","2-4"
"62389-87","","","2-4"
"62389-88","","","2-4"
"60764-1","-4,13","","2-4"
"62389-90","","","2-4"
"62389-91","","","2-4"
"62389-92","","","2-4"
"62389-93","","","2-4"
"60767-1","-3,69","","5,6"
"60771-2","","","3,4"
"62389-96","","","2-4"
"62389-97","","","2-4"
"62389-98","","","2-4"
"62389-99","","","2-4"
"62389-100","","","2-4"
"62389-101","","","2-4"
"62389-102","","","2-4"
"62389-103","","","2-4"
"62389-104","","","2-4"
"62389-105","","","2-4"
"62389-106","","","2-4"
"62389-107","","","2-4"
"62389-108","","","2-4"
"62389-109","","","2-4"
"62389-110","","","2-4"
"62389-111","","","2-4"
"62389-112","","","2-4"
"62389-113","","","2-4"
"62389-114","","","2-4"
"62389-115","","","2-4"
"62389-116","","","2-4"
"62389-117","","","2-4"
"62389-118","","","2-4"
"62389-119","","","2-4"
"62389-120","","","2-4"
"62389-121","","","2-4"
"62389-122","","","2-4"
"62389-123","","","2-4"
"62389-124","","","2-4"
"62389-125","","","2-4"
"62389-126","","","2-4"
"62389-127","","","2-4"
"62389-128","","","2-4"
"62389-129","","","2-4"
"62389-130","","","2-4"
"62389-131","","","2-4"
"60773-4","","","2-4"
"62389-133","","","2-4"
"62389-134","","","2-4"
"62389-135","","","2-4"
"62389-136","","","2-4"
"62389-137","","","2-4"
"62389-138","","","2-4"
"62389-139","","","2-4"
"62389-140","","","2-4"
"62389-141","","","2-4"
"62389-142","","","2-4"
"62389-143","","","2-4"
"62389-144","","","2-4"
"62389-145","","","2-4"
"62389-146","","","2-4"
"62389-147","","","2-4"
"62389-148","","","2-4"
"62389-149","","","2-4"
"62391-8","","","1,8"
"62395-1","-3,86","","5,2"
"62395-2","-3,86","","4,2"
"62395-3","-3,86","","3,5"
"62375","-2,52","","8,2"
"62395-5","","","3,1"
"62395-6","","","2,3"
"62395-7","","","2,9"
"62395-8","","","1,9"
"62395-9","","","2,1"
"62395-10","","","1,8"
"62405-1","","-4,06","6,2"
"62405-2","","","5,8"
"62405-3","","","3,1"
"62405-4","","","2,8"
"62405-5","","","3,0"
"62405-6","","","2,6"
"62405-7","","","2,5"
"62405-8","","","2,4"
"62405-9","","","2,4"
"62405-10","","","2,0"
"62405-11","","","1,9"
"62400-1","-3,92","","4-8"
"62400-2","","","4-8"
"62400-3","","","2-4"
"62400-4","","","2-4"
"62400-5","","","2-4"
"62400-6","","","2-4"
"62400-7","","","2-4"
"62400-8","","","2-4"
"62400-9","","","2-4"
"62400-10","","","2-4"
"62400-11","","","2-4"
"62400-12","","","2-4"
"62400-13","","","2-4"
"62400-14","","","2-4"
"62400-15","","","2-4"
"62400-16","","","2-4"
"62400-17","","","2-4"
"62400-18","","","2-4"
"62400-19","","","2-4"
"62400-20","","","2-4"
"62400-21","","","2-4"
"62400-22","","","2-4"
"62400-23","","","2-4"
"62400-24","","","2-4"
"62400-25","","","2-4"
"62400-26","","","2-4"
"62400-27","","","2-4"
"62400-28","","","2-4"
"62400-29","","","0-2"
"62400-30","","","0-2"
"62400-31","","","0-2"
"62400-32","","","0-2"
"62400-33","","","0-2"
"62400-34","","","0-2"
"62400-35","","","0-2"
"62400-36","","","0-2"
"62404-1","-4,04","","5,0"
"60738-5","","","2,1"
"60738-6","","","1,3"
"60713-1","","","3,5"
"60713-2","","","3,6"
"60713-3","","","3,4"
"60713-4","","","3,2"
"60713-5","","","3,1"
"60713-6","","","1,7"
"62376-1","-2,55","","5,7"
"62376-2","","","2,4"
"62377-1","","-2,61","4,7"
"62378-2","","-2,67","6,9"
"60732-1","-1,66","","2,9"
"60732-2","","","3,6"
"60732-3","","","3,4"
"60732-4","","","2,8"
"60732-5","","","2,1"
"60732-6","","","2,7"
"60732-7","","","2,0"
"60747-1","-3,48","","7,7"
"60747-2","","","3,1"
"60747-3","","","2,2"
"60747-4","","","1,7"
"60747-5","","","2,3"
"60747-6","","","2,1"
"60747-7","","","1,7"
"60747-8","","","1,8"
"60747-9","","","1,6"
"60747-10","","","1,6"
"60747-11","","","1,5"
"60747-12","","","1,5"
"60747-13","","","1,4"
"60747-14","","","1,2"
"62390-1","-3,79","","5,0"
"62390-2","","","6,2"
"62390-3","","","3,2"
"62390-4","","","2,9"
"62390-5","","","3,2"
"62390-6","","","2,8"
"62390-7","","","2,2"
"62390-8","","","2,6"
"62390-9","","","2,0"
"60759-1","","-3,99","5,1"
"60759-2","","","5,7"
"60759-3","","","4,2"
"62391-1","-3,82","","6,0"
"62391-2","","","3,8"
"62391-3","","","4,7"
"62391-4","","","3,6"
"62391-5","","","2,6"
"62391-6","","","3,1"
"62391-7","","","2,4"
"62404-2","","","4-8"
"62404-3","","","2-4"
"62404-4","","","2-4"
"62404-5","","","2-4"
"62404-6","","","2-4"
"62404-7","","","2-4"
"62404-8","","","2-4"
"62404-9","","","2-4"
"62404-10","","","2-4"
"62404-11","","","2-4"
"62404-12","","","2-4"
"62404-13","","","0-2"
"62404-14","","","0-2"
"62404-15","","","0-2"
"62404-16","","","0-2"
"62404-17","","","0-2"
"62404-18","","","0-2"
"62404-19","","","0-2"
"62404-20","","","0-2"
"62394-1","-3,85","","4-8"
"62394-2","","","4-8"
"62394-3","","","4-8"
"62394-4","","","4-8"
"62394-5","","","4-8"
"62394-6","","","4-8"
"62394-7","","","4-8"
"62394-8","","","0-2"
"62394-9","","","0-2"
"62394-10","","","0-2"
"62394-11","","","0-2"
"62394-12","","","0-2"
"62394-13","","","0-2"
"62394-14","","","2-4"
"62394-15","","","2-4"
"62385-1","-3,70","","6,6"
"62394-17","","","2-4"
"62394-18","","","2-4"
"62394-19","","","2-4"
"62394-20","","","2-4"
"62394-21","","","2-4"
"62394-22","","","2-4"
"62394-23","","","2-4"
"62394-24","","","2-4"
"62394-25","","","2-4"
"62394-26","","","2-4"
"62394-27","","","2-4"
"62394-28","","","2-4"
"62394-29","","","2-4"
"62394-30","","","2-4"
"62394-31","","","2-4"
"62394-32","","","2-4"
"62394-33","","","2-4"
"62394-34","","","2-4"
"62396-1","-3,86","","4-8"
"62396-2","","","4-8"
"62396-3","","","4-8"
"62396-4","","","4-8"
"62396-5","","","4-8"
"62396-6","","","0-2"
"62396-7","","","2-4"
"62396-8","","","2-4"
"62396-9","","","2-4"
"62396-10","","","2-4"
"62396-11","","","2-4"
"62396-12","","","2-4"
"62396-13","","","2-4"
"62396-14","","","2-4"
"62396-15","","","2-4"
"62396-16","","","2-4"
"62396-17","","","2-4"
"62396-18","","","2-4"
"62396-19","","","2-4"
"62396-20","","","2-4"
"62396-21","","","2-4"
"62396-22","","","2-4"
"62396-23","","","2-4"
"62396-24","","","2-4"
"62396-25","","","2-4"
"62396-26","","","2-4"
"62396-27","","","2-4"
"62388-1","-3,78","","4-8"
"62388-2","","","0-2"
"62388-3","","","2-4"
"62388-4","","","2-4"
"62388-5","","","2-4"
"62388-6","","","2-4"
"62388-7","","","2-4"
"62388-8","","","2-4"
"62388-9","","","2-4"
"62388-10","","","2-4"
"62388-11","","","2-4"
"62388-12","","","2-4"
"62385-2","","","4-8"
"62387-12","","","2-4"
"62385-3","","","4-8"
"62385-4","","","0-2"
"62385-5","","","2-4"
"62385-6","","","2-4"
"62385-7","","","2-4"
"62385-8","","","2-4"
"62385-9","","","2-4"
"62385-10","","","2-4"
"62385-11","","","2-4"
"60758-1","-3,98","","6,8"
"60758-2","","","6,9"
"60758-3","","","0-2"
"60758-4","","","2-4"
"60758-5","","","2-4"
"60758-6","","","2-4"
"60758-7","","","2-4"
"60773-1","","","4-8"
"60773-2","","","4-8"
"60773-3","","","4-8"
"62387-25","","","2-4"
"60773-5","","","2-4"
"60773-6","","","2-4"
"60773-7","","","2-4"
"60773-8","","","0-2"
"60760-1","-4,00","","5,4"
"60760-2","","","2-4"
"60760-3","","","2-4"
"60760-4","","","2-4"
"60760-5","","","0-2"
"60760-6","","","0-2"
"60760-7","","","0-2"
"60760-8","","","0-2"
"60760-9","","","0-2"
"60760-10","","","0-2"
"62387-31","","","0-2"
"60693-2","","","4-8"
"62389-1","-3,78","","4-8"
"62389-11","","","4-8"
"60693-5","","","0-2"
"60693-6","","","2-4"
"60693-7","","","2-4"
"60693-8","","","2-4"
"60693-9","","","2-4"
"60693-10","","","2-4"
"60693-11","","","2-4"
"60693-12","","","2-4"
"60693-13","","","2-4"
"60693-14","","","2-4"
"62389-12","","","4-8"
"60693-16","","","2-4"
"60693-17","","","2-4"
"60693-18","","","2-4"
"60693-19","","","2-4"
"60693-20","","","2-4"
